电影ID,电影链接,电影名称,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDb,豆瓣评分,评价人数,5星,4星
1291585,https://movie.douban.com/subject/1291585/,风之谷 風の谷のナウシカ (1984),宫崎骏,宫崎骏,岛本须美 / 松田洋治 / 榊原良子 / 辻村真人 / 京田尚子 / 更多...,动画 / 奇幻 / 冒险,日本,日语,1992-05(中国大陆) / 1984-03-11(日本),117分钟,风谷少女 / Kaze no tani no Naushika / Nausicaä of the Valley of the Wind,tt0087544,8.9,395891,55.8%,34.9%
1291586,https://movie.douban.com/subject/1291586/,海底总动员 Finding Nemo (2003),安德鲁·斯坦顿 / 李·昂克里奇,安德鲁·斯坦顿 / 鲍勃·彼德森 / 大卫·雷诺兹,艾伯特·布鲁克斯 / 艾伦·德杰尼勒斯 / 亚历山大·古尔德 / 威廉·达福 / 布拉德·加内特 / 更多...,喜剧 / 动画 / 冒险,美国 / 澳大利亚,英语,2003-07-30(中国大陆) / 2003-05-30(美国),100分钟,海底奇兵(港) / 寻找尼莫 / 海底总动员3D / Finding Nemo 3D,tt0266543,8.5,431785,39.8%,47.7%
1291587,https://movie.douban.com/subject/1291587/,埃及王子 The Prince of Egypt (1998),布兰达∙查普曼 / 西蒙·威尔斯 / 史蒂夫·希克纳,菲利普·拉泽布尼克 / 尼古拉斯·迈耶,方·基默 / Ralph Fiennes / 米歇尔·菲佛 / 桑德拉·布洛克 / 杰夫·高布伦 / 更多...,剧情 / 动画 / 冒险,美国,英语 / 希伯来语,1998-12-18(美国),99分钟,,tt0120794,8.1,44794,29.4%,46.7%
1291588,https://movie.douban.com/subject/1291588/,岁月的童话 おもひでぽろぽろ (1991),高畑勋,高畑勋,今井美树 / 柳叶敏郎 / 本名阳子 / 高桥一生 / 饭冢雅弓 / 更多...,剧情 / 爱情 / 动画,日本,德语 / 日语 / 匈牙利语,1991-07-20(日本),118 分钟,岁月的童话(港) / 儿时的点点滴滴(台) / 回忆点点滴滴 / Only Yesterday,tt0102587,8.6,157447,45.6%,40.7%
1291818,https://movie.douban.com/subject/1291818/,饮食男女 飲食男女,李安,李安 / 王蕙玲 / 詹姆斯·夏慕斯,郎雄 / 杨贵媚 / 吴倩莲 / 王渝文 / 张艾嘉 / 更多...,剧情 / 家庭,中国台湾 / 美国,汉语普通话 / 闽南语 / 湖南话,1994-07-02(中国台湾) / 1994-05-13(戛纳电影节) / 1994-08-03(美国),124分钟,Eat Drink Man Woman,tt0111797,9.2,728609,64.5%,30.4%
1291822,https://movie.douban.com/subject/1291822/,卢旺达饭店 Hotel Rwanda (2004),特瑞·乔治,凯尔·皮尔森 / 特瑞·乔治,唐·钱德尔 / 苏菲·奥康内多 / 华金·菲尼克斯 / 尼克·诺特 / 哈基姆·凯-卡西姆 / 更多...,剧情 / 传记 / 历史 / 战争,英国 / 南非 / 意大利 / 美国,英语 / 法语,2004-09-11(多伦多电影节) / 2005-03-04(英国),121分钟,卢安达饭店(台),tt0395169,8.9,369624,54.0%,38.3%
1291824,https://movie.douban.com/subject/1291824/,黑鹰坠落 Black Hawk Down (2001),雷德利·斯科特,肯·诺兰 / 马克·鲍登,乔什·哈奈特 / 伊万·麦克格雷格 / 汤姆·塞兹摩尔 / 金·寇兹 / 艾文·布莱纳 / 更多...,动作 / 历史 / 战争,美国 / 英国,英语 / 阿拉伯语,2001-12-18(美国),144分钟 / 142分钟(德国) / 152分钟(加长版),黑鹰15小时(港) / 黑鹰计划(台) / 黑鹰降落,tt0265086,8.7,320778,47.3%,41.3%
1291828,https://movie.douban.com/subject/1291828/,天堂电影院 Nuovo Cinema Paradiso (1988),朱塞佩·托纳多雷,朱塞佩·托纳多雷 / 瓦娜·波利,菲利普·努瓦雷 / 萨瓦特利·卡西欧 / 雅克·贝汉 / 马克·莱昂纳蒂 / 莱奥波多·特里耶斯泰 / 更多...,剧情 / 爱情,意大利 / 法国,意大利语,2021-06-11(中国大陆) / 1988-11-17(意大利),173分钟(导演剪辑版) / 125分钟 / 124分钟(中国大陆),星光伴我心(港) / 新天堂乐园(台) / Cinema Paradiso,tt0095765,9.2,743333,66.0%,27.9%
1291831,https://movie.douban.com/subject/1291831/,灿烂人生 La meglio gioventù (2003),马可·图利奥·吉奥达纳,桑德罗·佩特拉利亚 / 斯特法诺·鲁利,路易吉·洛·卡肖 / 阿莱西奥·博尼 / 索尼娅·贝加马斯科 / 玛雅·珊萨 / 法布里齐奥·吉福尼 / 更多...,剧情 / 爱情 / 家庭,意大利,意大利语,2003-05-20(戛纳电影节) / 2003-06-20(意大利),366分钟,灿烂时光(台) / 最好的青春 / 少年万岁 / 璀璨人生 / The Best of Youth,tt0346336,9.3,87390,72.9%,21.3%
1291832,https://movie.douban.com/subject/1291832/,低俗小说 Pulp Fiction,昆汀·塔伦蒂诺,昆汀·塔伦蒂诺 / 罗杰·阿夫瑞,约翰·特拉沃尔塔 / 乌玛·瑟曼 / 阿曼达·普拉莫 / 蒂姆·罗斯 / 塞缪尔·杰克逊 / 更多...,剧情 / 喜剧 / 犯罪,美国,英语 / 西班牙语 / 法语,1994-05-12(戛纳电影节) / 1994-10-14(美国),154分钟,危险人物(港) / 黑色追缉令(台) / 黑色追击令 / 低级趣味小说,tt0110912,8.9,963890,55.8%,34.4%
1291833,https://movie.douban.com/subject/1291833/,杯酒人生 Sideways (2004),亚历山大·佩恩,亚历山大·佩恩 / 吉姆·泰勒 / 雷克斯·皮克特,保罗·吉亚玛提 / 托马斯·哈登·丘奇 / 维吉妮娅·马德森 / 吴珊卓 / 玛丽路易丝·贝克 / 更多...,剧情 / 喜剧 / 爱情,美国 / 匈牙利,英语 / 亚美尼亚语,2004-09-13(多伦多电影节) / 2004-10-22(美国) / 2005-02-03(匈牙利),126分钟,酒佬日记(港) / 寻找新方向(台) / 并肩前行,tt0375063,7.9,61919,24.2%,50.4%
1291835,https://movie.douban.com/subject/1291835/,迷失东京 Lost in Translation (2003),索菲亚·科波拉,索菲亚·科波拉,斯嘉丽·约翰逊 / 比尔·默瑞 / 吉奥瓦尼·瑞比西 / 竹下明子 / 安娜·法瑞丝 / 更多...,剧情 / 爱情,美国 / 日本,英语 / 日语 / 德语 / 法语,2003-08-29(特柳赖德电影节) / 2003-10-03(美国),102 分钟,爱情，不用翻译(台) / 迷语东京,tt0335266,7.8,255030,23.5%,45.5%
1291836,https://movie.douban.com/subject/1291836/,戴珍珠耳环的少女 Girl with a Pearl Earring (2003),彼得·韦柏,奥莉薇亚·黑特理德,科林·费尔斯 / 斯嘉丽·约翰逊 / 汤姆·威尔金森 / 朱迪·帕瑞福特 / 基里安·墨菲 / 更多...,剧情 / 爱情 / 传记,英国 / 卢森堡 / 法国 / 比利时 / 美国,英语,2003-08-31(特柳赖德电影节) / 2004-01-16(英国),100分钟,画意私情(港),tt0335119,7.8,183887,19.7%,51.9%
1291838,https://movie.douban.com/subject/1291838/,红猪 紅の豚 (1992),宫崎骏,宫崎骏,森山周一郎 / 加藤登纪子 / 冈村明美 / 桂三枝 / 上条恒彦 / 更多...,喜剧 / 动画 / 冒险,日本,日语,2023-11-17(中国大陆) / 1992-07-18(日本),94分钟,飞天红猪侠(港) / Porco Rosso / Crimson Pig,tt0104652,8.6,296090,44.8%,40.7%
1291839,https://movie.douban.com/subject/1291839/,银翼杀手 Blade Runner (1982),雷德利·斯科特,汉普顿·范彻 / 大卫·韦伯·皮普尔斯 / 菲利普·迪克,哈里森·福特 / 鲁格·豪尔 / 肖恩·杨 / 爱德华·詹姆斯·奥莫斯 / M·埃梅特·沃尔什 / 更多...,科幻 / 惊悚,美国 / 英国 / 中国香港,英语 / 德语 / 粤语 / 日语 / 匈牙利语 / 阿拉伯语,1982-06-25(美国),117分钟(最终剪辑版) / 116分钟(导演剪辑版),公元2020 / 叛狱追杀令 / 刀刃警探,tt0083658,8.6,309936,47.0%,38.1%
1291840,https://movie.douban.com/subject/1291840/,走出非洲 Out of Africa (1985),西德尼·波拉克,卡琳·布里克森 / 科特·路德特克 / 大卫·雷菲尔德,梅丽尔·斯特里普 / 罗伯特·雷德福 / 克劳斯·马利亚·布朗道尔 / 迈克尔·基臣 / 马利克·鲍恩斯 / 更多...,剧情 / 爱情 / 传记 / 冒险,美国,英语 / 斯瓦希里语,1985-12-10(洛杉矶首映) / 1985-12-20(美国),161分钟,非洲之旅(港) / 远离非洲(台),tt0089755,8.7,108577,46.6%,41.0%
1291841,https://movie.douban.com/subject/1291841/,教父 The Godfather (1972),弗朗西斯·福特·科波拉,马里奥·普佐 / 弗朗西斯·福特·科波拉,马龙·白兰度 / 阿尔·帕西诺 / 詹姆斯·肯恩 / 理查德·S·卡斯特尔诺 / 罗伯特·杜瓦尔 / 更多...,剧情 / 犯罪,美国,英语 / 意大利语 / 拉丁语,1972-03-15(纽约首映) / 1972-03-24(美国),175 分钟,Mario Puzo's The Godfather,tt0068646,9.3,1110316,72.0%,22.7%
1291843,https://movie.douban.com/subject/1291843/,黑客帝国 The Matrix (1999),莉莉·沃卓斯基 / 拉娜·沃卓斯基,莉莉·沃卓斯基 / 拉娜·沃卓斯基,基努·里维斯 / 劳伦斯·菲什伯恩 / 凯瑞-安·莫斯 / 雨果·维文 / 格洛丽亚·福斯特 / 乔·潘托里亚诺 / 马库斯·钟 / 朱利安·阿拉汗加 / 马特·多兰 / 贝琳达·麦克洛里 / 安东尼·雷·帕克 / 罗伯特·泰勒 / 阿达·尼科德莫 / 罗温·维特 / 塔玛拉·布朗 / 纳塔莉·特珍 / 比尔·扬 / 克里斯·斯科特 / 纳许·埃哲顿,动作 / 科幻,美国,英语,2000-01-14(中国大陆) / 1999-03-31(美国),136分钟,22世纪杀人网络(港) / 廿二世纪杀人网络(港) / 骇客任务(台) / 骇客帝国,tt0133093,9.1,953618,63.6%,29.5%
1291844,https://movie.douban.com/subject/1291844/,终结者2：审判日 Terminator 2: Judgment Day (1991),詹姆斯·卡梅隆,詹姆斯·卡梅隆 / 小威廉·威谢尔,阿诺·施瓦辛格 / 琳达·汉密尔顿 / 爱德华·福隆 / 罗伯特·帕特里克 / 厄尔·伯恩 / 更多...,动作 / 科幻,美国 / 法国,英语 / 西班牙语,1991-07-03(美国) / 2017-02-17(柏林电影节 3D),137分钟 / 153分钟(特别版) / 156分钟(终极剪辑版),未来战士2(港) / 魔鬼终结者2(台) / 终结者2 / 终结者2：末日审判 / 终结者续集：世界末日 / T2,tt0103064,8.8,389481,51.7%,38.3%
1291847,https://movie.douban.com/subject/1291847/,十七岁的单车 (2001),王小帅,唐大年 / 徐小明 / 焦雄屏 / 王小帅,崔林 / 李滨 / 周迅 / 高圆圆 / 李梦男 / 更多...,剧情,中国大陆 / 中国台湾 / 法国,汉语普通话,2001-02-17(柏林电影节),113分钟,17岁的单车 / 自行车 / 北京自行车 / Beijing Bicycle,tt0276501,7.8,119604,20.8%,52.7%
1291850,https://movie.douban.com/subject/1291850/,站台 (2000),贾樟柯,贾樟柯,王宏伟 / 赵涛 / 梁景东 / 杨荔钠 / 韩三明,剧情 / 历史,中国大陆 / 中国香港 / 日本 / 法国,汉语普通话 / 晋语,2000-09-04(威尼斯电影节),154分钟 / 193分钟(威尼斯电影节),Platform,tt0258885,8.4,82437,37.8%,46.9%
1291851,https://movie.douban.com/subject/1291851/,小武 (1998),贾樟柯,贾樟柯,王宏伟 / 郝鸿建 / 左百韬,剧情,中国香港 / 中国大陆,晋语 / 汉语普通话,1998-02-18(柏林电影节),108分钟 / 113分钟,The Pickpocket / 一瞬の夢,tt0144020,8.6,171940,43.1%,45.1%
1291852,https://movie.douban.com/subject/1291852/,弗里达 Frida (2002),朱丽·泰莫,克兰西·西加尔 / 黛安娜·莱克 / 格雷戈里·内瓦 / 安娜·托马斯,萨尔玛·海耶克 / 阿尔弗雷德·莫里纳 / 米娅·麦斯特罗 / 艾什莉·贾德 / 安东尼奥·班德拉斯 / 更多...,剧情 / 爱情 / 传记,美国 / 墨西哥 / 加拿大,英语 / 法语 / 俄语 / 西班牙语,2002-08-29(威尼斯电影节) / 2002-11-20(墨西哥) / 2002-11-22(美国),123分钟,笔姬别恋(港) / 挥洒烈爱(台) / 弗莱达,tt0120679,8.7,91041,48.1%,41.2%
1291853,https://movie.douban.com/subject/1291853/,英国病人 The English Patient (1996),安东尼·明格拉,安东尼·明格拉 / 迈克尔·翁达杰,拉尔夫·费因斯 / 朱丽叶·比诺什 / 威廉·达福 / 克里斯汀·斯科特·托马斯 / 纳威恩·安德利维斯 / 更多...,剧情 / 爱情 / 战争,美国 / 英国,英语 / 德语 / 意大利语 / 阿拉伯语,1996-12-06(美国) / 1997-03-14(英国),162分钟,别问我是谁(港) / 英伦情人(台),tt0116209,8.5,297817,41.9%,43.1%
1291856,https://movie.douban.com/subject/1291856/,戏梦巴黎 The Dreamers (2003),贝纳尔多·贝托鲁奇,吉尔伯特·阿代尔,迈克尔·皮特 / 伊娃·格林 / 路易·加瑞尔 / 安娜·钱斯勒 / 罗宾·瑞努奇 / 更多...,剧情 / 爱情 / 情色,法国 / 英国 / 意大利,英语 / 法语,2003-09-01(威尼斯电影节) / 2003-10-10(法国),115分钟,梦想家 / 巴黎初体验 / 爱作爱作梦 / Innocents / Paris '68,tt0309987,8.1,260418,31.7%,46.5%
1291857,https://movie.douban.com/subject/1291857/,乐士浮生录 Buena Vista Social Club (1999),维姆·文德斯,维姆·文德斯 / 尼克·戈德,Octavio Calderon / Joachim Cooder / 莱·库德 / Angel Terry Domech / Ibrahim Ferrer / 更多...,纪录片 / 音乐,德国 / 美国 / 英国 / 法国 / 古巴,英语 / 西班牙语,1999-02-17(柏林电影节) / 1999-06-04(德国),105分钟,乐满哈瓦那 / 乐满夏湾拿(港) / 博伟俱乐部,tt0186508,9,16053,59.5%,32.2%
1291858,https://movie.douban.com/subject/1291858/,鬼子来了 (2000),姜文,姜文 / 史建全 / 述平 / 尤凤伟,姜文 / 香川照之 / 袁丁 / 姜宏波 / 丛志军 / 更多...,剧情 / 喜剧,中国大陆,汉语普通话 / 日语 / 唐山话,2000-05-12(戛纳电影节) / 2002-04-27(日本),139分钟 / 162分钟(戛纳电影节),Devils on the Doorstep,tt0245929,9.3,717526,71.3%,23.8%
1291859,https://movie.douban.com/subject/1291859/,布拉格之恋 The Unbearable Lightness of Being (1988),菲利普·考夫曼,米兰·昆德拉 / 让-克劳德·卡里埃尔 / 菲利普·考夫曼,丹尼尔·戴-刘易斯 / 朱丽叶·比诺什 / 莉娜·奥琳 / 德雷克·德·林特 / 厄兰·约瑟夫森 / 更多...,剧情 / 爱情,美国,英语,1988-02-05(美国),171分钟,布拉格的春天(台) / 生命中不能承受之轻 / 生命不能承受之轻 / 布拉格之春 / 沉重浮生,tt0096332,8.2,72809,32.1%,48.0%
1291860,https://movie.douban.com/subject/1291860/,瓦尔特保卫萨拉热窝 Валтер брани Сарајево (1972),哈伊鲁丁·克尔瓦瓦茨,乔尔杰·莱博维奇,韦利米尔·巴塔·日沃伊诺维奇 / 拉德·马尔科维奇 / 留比沙·萨马季奇 / 娜达·斯帕索耶维奇 / 德拉戈米尔·吉德拉·博扬尼奇 / 更多...,战争,南斯拉夫,塞尔维亚语 / 德语,1972-11-30(匈牙利),133分钟 / 128分钟(中国),Valter brani Sarajevo / Walter Defends Sarajevo,tt0069452,8.8,17341,50.0%,39.1%
1291863,https://movie.douban.com/subject/1291863/,追捕 君よ憤怒の河を渉れ (1976),佐藤纯弥,田坂启 / 西村寿行,高仓健 / 原田芳雄 / 西村晃 / 中野良子 / 田中邦卫 / 更多...,剧情 / 动作 / 犯罪,日本,日语,1978(中国大陆) / 1976-02-11(日本),151分钟,越过愤怒的河 / 你一定要趟过愤怒的河 / Arrest / Manhunt / Hot Pursuit / Big Pursuit in Hokkaido,tt0327002,8.2,32628,32.6%,49.2%
1291865,https://movie.douban.com/subject/1291865/,流浪者 Awaara (1951),拉兹·卡普尔,Khwaja Ahmad Abbas / V.P. Sathe,拉兹·卡普尔 / 纳尔吉丝 / 普利特维拉·卡浦尔 / 沙希·卡普尔,剧情 / 爱情 / 歌舞,印度,印地语,1951-12-14(印度),193分钟,The Vagabond,tt0043306,8.4,6155,36.7%,48.1%
1291866,https://movie.douban.com/subject/1291866/,佐罗 Zorro (1975),杜奇奥·泰萨利,乔治·阿洛里奥,阿兰·德龙 / 奥塔维亚·皮科洛 / 恩佐·塞鲁西科 / 穆斯塔什 / 吉雅科莫·罗西·斯图尔特,喜剧 / 动作 / 西部 / 冒险,法国 / 意大利,意大利语 / 英语,1975-03-06,124分钟,大决斗 / 神鞭大侠,tt0072448,8.1,21572,28.5%,51.9%
1291868,https://movie.douban.com/subject/1291868/,情人 L'amant (1992),让-雅克·阿诺,让-雅克·阿诺 / 热拉尔·布拉什 / 玛格丽特·杜拉斯,珍·玛奇 / 梁家辉 / 弗雷德丽克·梅南热 / 阿诺·乔瓦尼内蒂 / 梅尔维尔·珀波 / 更多...,剧情 / 爱情 / 情色 / 传记,法国 / 英国 / 越南,英语 / 粤语,1992-01-22(法国) / 1992-06-19(英国),115分钟,The Lover,tt0101316,8.2,287260,32.3%,49.3%
1291869,https://movie.douban.com/subject/1291869/,本能 Basic Instinct (1992),保罗·范霍文,乔·埃泽特哈斯,迈克尔·道格拉斯 / 莎朗·斯通 / 乔治·杜兹达扎 / 珍妮·特里普尔霍恩 / 丹尼斯·阿尔恩特,剧情 / 悬疑 / 惊悚,美国 / 法国,英语,1992-03-20,128分钟,第六感追缉令(台) / 氷の微笑,tt0103772,7.9,178510,23.5%,50.4%
1291870,https://movie.douban.com/subject/1291870/,雨人 Rain Man (1988),巴瑞·莱文森,罗纳德·巴斯 / 巴里·莫罗,达斯汀·霍夫曼 / 汤姆·克鲁斯 / 瓦莱丽亚·戈利诺 / 邦妮·亨特 / 贝丝·格兰特 / 更多...,剧情,美国,英语 / 意大利语,1988-12-16(美国),133分钟,手足情未了(港) / 手足情深,tt0095953,8.7,445692,47.1%,43.1%
1291872,https://movie.douban.com/subject/1291872/,苔丝 Tess (1979),罗曼·波兰斯基,托马斯·哈代 / 热拉尔·布拉什 / 罗曼·波兰斯基 / 约翰·布朗约翰,约翰·科林 / 托尼·丘奇 / 娜塔莎·金斯基 / 彼得·弗斯 / 约翰·贝特 / 更多...,剧情 / 爱情,英国 / 法国,英语,1979-10-25,184分钟 / 172分钟(DVD) / 150分钟(阿根廷) / 170分钟(法国),黛丝姑娘(港),tt0080009,8.2,47439,30.3%,52.4%
1291875,https://movie.douban.com/subject/1291875/,阳光灿烂的日子,姜文,姜文 / 王朔,夏雨 / 宁静 / 陶虹 / 耿乐 / 斯琴高娃 / 更多...,剧情 / 爱情,中国大陆 / 中国香港,汉语普通话,1995-08-21(中国大陆) / 1995-06-28(中国香港) / 1994-09-09(威尼斯电影节),134分钟(中国大陆) / 138分钟(威尼斯电影节) / 128分钟(DVD版) / 140分钟(修复版) / 225分钟(初剪版),In the Heat of the Sun,tt0111786,8.8,699706,52.5%,37.7%
1291876,https://movie.douban.com/subject/1291876/,黄土地 (1984),陈凯歌,张子良 / 柯蓝 / 陈凯歌,薛白 / 王学圻 / 谭托 / 刘强,剧情 / 音乐,中国大陆,汉语普通话 / 陕西方言,1984(中国大陆) / 1985-08-10(洛迦诺电影节) / 1985-09-10(多伦多电影节),90分钟,深谷回声 / Yellow Earth,tt0087433,8,44659,24.7%,52.2%
1291877,https://movie.douban.com/subject/1291877/,两生花 La Double vie de Véronique (1991),克日什托夫·基耶斯洛夫斯基,克日什托夫·基耶斯洛夫斯基 / 克日什托夫·皮耶谢维奇,伊莲娜·雅各布 / 哈丽娜·格雷格拉谢夫斯卡 / 卡里娜·谢鲁斯克 / 亚历山大·巴尔迪尼 / 瓦迪斯瓦夫·科瓦尔斯基 / 更多...,剧情 / 爱情 / 奇幻,法国 / 波兰 / 挪威,法语 / 波兰语 / 意大利语,1991-05-15(法国) / 1991-09-20(挪威) / 1991-10-06(波兰),98分钟,薇洛妮卡的双重生活 / 维罗尼卡的双重生命 / 双面薇若妮卡(台) / 双生花 / 今世今生 / The Double Life of Veronique / Podwójne życie Weroniki / Die zwei Leben der Veronika,tt0101765,8.3,89539,37.7%,43.6%
1291878,https://movie.douban.com/subject/1291878/,不良教育 La mala educación (2004),佩德罗·阿莫多瓦,佩德罗·阿莫多瓦,盖尔·加西亚·贝纳尔 / 费雷·马丁内兹 / 丹尼尔·希梅内斯·卡乔 / 路易斯·奥马 / 弗朗西斯科·梅斯特 / 更多...,剧情 / 悬疑 / 惊悚 / 同性 / 犯罪,西班牙,西班牙语 / 拉丁语,2004-03-19(西班牙),106 分钟,圣·教·欲(港) / 坏教欲(台) / 毁灭性教育 / Bad Education,tt0275491,8.3,45157,32.9%,50.2%
1291879,https://movie.douban.com/subject/1291879/,罗生门 羅生門 (1950),黑泽明,黑泽明 / 桥本忍 / 芥川龙之介,三船敏郎 / 京町子 / 森雅之 / 志村乔 / 千秋实 / 更多...,剧情 / 悬疑 / 犯罪,日本,日语,1950-08-26(日本),88分钟,Rashomon,tt0042876,8.8,361392,51.9%,38.1%
1291936,https://movie.douban.com/subject/1291936/,攻壳机动队 攻殻機動隊 (1995),押井守,伊藤和典 / 士郎正宗,田中敦子 / 大塚明夫 / 山寺宏一 / 大木民夫 / 家弓家正 / 更多...,动作 / 科幻 / 动画,日本,日语,2025-05-10(中国大陆) / 1995-11-18(日本),83分钟,Ghost in the Shell,tt0113568,9,221202,60.6%,31.2%
1291937,https://movie.douban.com/subject/1291937/,关于我母亲的一切 Todo sobre mi madre (1999),佩德罗·阿莫多瓦,佩德罗·阿莫多瓦,塞西莉亚·罗特 / 玛丽萨·帕雷德斯 / 坎德拉·佩尼亚 / 安东尼亚·圣胡安 / 佩内洛普·克鲁兹 / 更多...,剧情,西班牙 / 法国,西班牙语 / 加泰罗尼亚语 / 英语,1999-04-08(西班牙首映) / 1999-04-16(西班牙) / 1999-05-15(戛纳电影节) / 1999-05-19(法国),101分钟,论尽我阿妈(港) / 我的母亲(台) / All About My Mother,tt0185125,8.5,82710,42.1%,44.5%
1291976,https://movie.douban.com/subject/1291976/,狗脸的岁月 Mitt liv som hund (1985),拉斯·霍尔斯道姆,拉斯·霍尔斯道姆 / 雷达尔·荣松 / 布拉西·布兰斯特罗姆 / 波·伯格伦德,安东·格兰泽柳斯 / 托马斯·冯·布罗姆森 / 安琪·丽登 / 梅琳达·金纳曼 / 基克基·伦德格伦 / 更多...,剧情 / 喜剧,瑞典,瑞典语,1985-12-12,101 分钟,狗脸岁月 / My Life as a Dog,tt0089606,8.4,18998,37.5%,47.6%
1291989,https://movie.douban.com/subject/1291989/,原始星球 La planète sauvage (1973),阿内·拉鲁,斯蒂凡·乌尔 / 洛朗·托坡尔 / 阿内·拉鲁,Jennifer Drake / Eric Baugin / 让·托帕尔 / 让·瓦尔蒙 / Sylvie Lenoir / 更多...,科幻 / 动画,法国 / 捷克斯洛伐克,法语,1973-05(戛纳电影节) / 1973-12-06(法国),72 分钟,神奇星球 / 奇幻星球 / Fantastic Planet,tt0070544,8.7,39782,47.7%,41.5%
1291990,https://movie.douban.com/subject/1291990/,爱在日落黄昏时 Before Sunset (2004),理查德·林克莱特,理查德·林克莱特 / 朱莉·德尔佩 / 伊桑·霍克 / 金·克里桑,伊桑·霍克 / 朱莉·德尔佩 / 弗农·多布切夫 / 路易丝·勒莫瓦纳·托雷斯 / 罗多尔·保利 / 更多...,剧情 / 爱情,美国 / 法国,英语 / 法语,2004-02-10(柏林电影节) / 2004-07-30(美国),80 分钟,日落巴黎(港) / 爱在日落巴黎时(台) / 日落之前 / 情留相逢时 / 爱在日落余晖时 / 爱在日落黄昏前,tt0381681,8.9,659105,56.5%,33.7%
1291992,https://movie.douban.com/subject/1291992/,末路狂花 Thelma & Louise (1991),雷德利·斯科特,卡莉·克里,吉娜·戴维斯 / 苏珊·萨兰登 / 哈威·凯特尔 / 迈克尔·马德森 / 布拉德·皮特,剧情 / 惊悚 / 犯罪,美国 / 英国 / 法国,英语,1991-05-24(美国) / 1991-05-29(法国),130 分钟,塞尔玛与路易丝,tt0103074,9,354655,59.3%,32.9%
1291999,https://movie.douban.com/subject/1291999/,重庆森林 重慶森林,王家卫,王家卫,林青霞 / 金城武 / 梁朝伟 / 王菲 / 周嘉玲,剧情 / 爱情,中国香港,粤语 / 汉语普通话 / 英语 / 印地语 / 日语,1994-07-14(中国香港),102分钟 / 111分钟(台湾版DVD),Chungking Express,tt0109424,8.8,927894,51.3%,37.6%
1292000,https://movie.douban.com/subject/1292000/,搏击俱乐部 Fight Club (1999),大卫·芬奇,恰克·帕拉尼克 / 吉姆·乌尔斯,爱德华·诺顿 / 布拉德·皮特 / 海伦娜·伯翰·卡特 / 扎克·格雷尼尔 / 米特·洛夫 / 更多...,剧情 / 动作 / 悬疑 / 惊悚,美国,英语,1999-09-10(威尼斯电影节) / 1999-10-15(美国),139 分钟,搏击会(港) / 斗阵俱乐部(台) / 格斗俱乐部,tt0137523,9,979701,61.6%,29.8%
1292001,https://movie.douban.com/subject/1292001/,海上钢琴师 La leggenda del pianista sull'oceano (1998),朱塞佩·托纳多雷,亚历山德罗·巴里科 / 朱塞佩·托纳多雷,蒂姆·罗斯 / 普路特·泰勒·文斯 / 比尔·努恩 / 克兰伦斯·威廉姆斯三世 / 梅兰尼·蒂埃里 / 更多...,剧情 / 音乐,意大利,英语 / 法语 / 意大利语,2019-11-15(中国大陆) / 2024-11-15(中国大陆重映) / 1998-10-28(意大利),120分钟(国际版) / 170分钟(加长版) / 126分钟,声光伴我飞(港) / 一九零零的传奇 / 1900海上钢琴师 / 传奇1900 / The Legend of 1900 / The Legend Of The Pianist On The Ocean,tt0120731,9.3,1883246,70.9%,24.0%
1292047,https://movie.douban.com/subject/1292047/,蓝白红三部曲之红 Trois couleurs: Rouge,克日什托夫·基耶斯洛夫斯基,克日什托夫·基耶斯洛夫斯基 / 克日什托夫·皮耶谢维奇 / 阿格涅丝卡·霍兰 / 爱德华·泽布罗夫斯基 / 爱德华·克罗西斯基,伊莲娜·雅各布 / 让-路易·特兰蒂尼昂 / 弗雷德里奎·费德 / 让-皮耶·罗利特 / 塞缪尔·勒·比汉 / 更多...,剧情 / 爱情 / 悬疑,法国 / 波兰 / 瑞士,法语,1994-05-12(戛纳电影节) / 1994-05-27(波兰) / 1994-09-14(法国),99分钟,红 / 红色情深(台) / 三色之红色篇 / 三色：红 / 红色 / Three Colors: Red,tt0111495,8.8,140913,49.7%,39.4%
1292048,https://movie.douban.com/subject/1292048/,蓝白红三部曲之蓝 Trois couleurs: Bleu (1993),克日什托夫·基耶斯洛夫斯基,克日什托夫·基耶斯洛夫斯基 / 克日什托夫·皮耶谢维奇 / 阿格涅丝卡·霍兰 / 爱德华·泽布罗夫斯基 / 斯拉沃米尔·埃迪扎克,朱丽叶·比诺什 / 贝努特·里格恩特 / 弗罗伦斯·派梅尔 / 夏洛特·韦里 / 海伦·文森特 / 更多...,剧情 / 爱情 / 音乐,法国 / 波兰 / 瑞士,法语 / 波兰语 / 罗马尼亚语,1993-09-03(特柳赖德电影节) / 1993-09-08(法国) / 1993-10-10(波兰),98分钟,蓝 / 蓝色情挑(台) / 三色之蓝色篇 / 三色：蓝 / 蓝色 / Three Colors: Blue,tt0108394,8.5,162597,40.3%,45.6%
