电影ID,电影链接,电影名称,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDb,豆瓣评分,评价人数,5星,4星
1293964,https://movie.douban.com/subject/1293964/,魂断蓝桥 Waterloo Bridge (1940),茂文·勒鲁瓦,塞缪尔·N·贝尔曼 / 汉斯·拉莫 / 乔治·弗罗斯切尔 / 罗伯特·E·舍伍德,费雯·丽 / 罗伯特·泰勒 / 露塞尔·沃特森 / 弗吉尼亚·菲尔德 / 玛丽亚·彭斯卡娅 / 更多...,剧情 / 爱情 / 战争,美国,英语 / 法语,1940-05-17(美国),108分钟,滑铁卢桥 / 断桥残梦,tt0033238,8.8,312853,50.5%,39.7%
1293973,https://movie.douban.com/subject/1293973/,爱德华大夫 Spellbound (1945),阿尔弗雷德·希区柯克,本·赫克特 / 约翰·帕尔默 / 希拉里·圣乔治·桑德斯 / 安格斯·麦克费尔 / 梅·E·罗姆,英格丽·褒曼 / 格利高里·派克 / 迈克尔·契诃夫 / 里奥.G.卡罗尔 / 朗达·弗莱明 / 更多...,爱情 / 悬疑 / 黑色电影,美国,英语,1945-12-28(美国),111 分钟 / 118分钟 / 95分钟(加拿大),意乱情迷 / 爱德华医生,tt0038109,8.3,75520,32.2%,51.4%
1293989,https://movie.douban.com/subject/1293989/,十二怒汉 12 Angry Men (1997),威廉·弗莱德金,雷金纳德·罗斯,考特尼·万斯 / 奥西·戴维斯 / 乔治·C·斯科特 / 阿明·缪勒-斯塔尔 / 道林·海伍德 / 更多...,剧情 / 犯罪,美国,英语,1997-08-17,117分钟,,tt0118528,9.3,43421,69.7%,25.4%
1293993,https://movie.douban.com/subject/1293993/,小公主 A Little Princess (1995),阿方索·卡隆,弗朗西丝·霍奇森·伯内特 / 理查德·拉·格拉文斯 / Elizabeth Chandler,利塞尔·马修斯 / 伊莲诺·布罗 / 利亚姆·坎宁安 / 拉丝蒂·休默 / 阿瑟·马利特 / 更多...,剧情 / 奇幻,美国,英语 / 法语,1995-05-10(美国),97分钟,,tt0113670,8.4,40105,40.2%,43.2%
1294007,https://movie.douban.com/subject/1294007/,我的父亲母亲 (1999),张艺谋,鲍十,章子怡 / 郑昊 / 孙红雷 / 李滨 / 嵇波 / 更多...,剧情 / 爱情,中国大陆,汉语普通话,1999-10-16(中国大陆) / 2000-02-15(柏林电影节),89分钟,The Road Home / My Father and Mother,tt0235060,8.2,155325,32.2%,48.6%
1294011,https://movie.douban.com/subject/1294011/,黄飞鸿之四：王者之风 黃飛鴻之四王者之風 (1993),元彬,徐克 / 邓碧燕,赵文卓 / 王静莹 / 莫少聪 / 熊欣欣 / 周比利 / 更多...,动作 / 武侠 / 古装,中国大陆 / 中国香港,粤语 / 汉语普通话,1993-06-10(中国香港),102分钟,黄飞鸿之王者之风 / Once Upon a Time in China IV,tt0107162,7.3,36457,13.8%,41.2%
1294019,https://movie.douban.com/subject/1294019/,监狱风云2：逃犯 監獄風雲II逃犯 (1991),林岭东,南燕,周润发 / 陈松勇 / 胡耀宗 / 于莉 / 黄光亮 / 更多...,剧情 / 动作 / 犯罪,中国香港,粤语,1991-06-22,113分钟,监狱风云2 / Prison on Fire II,tt0103044,7.9,47886,23.1%,50.2%
1294037,https://movie.douban.com/subject/1294037/,未来水世界 Waterworld (1995),凯文·雷诺兹,Peter Rader / 大卫·杜西,凯文·科斯特纳 / 珍妮·特里普尔霍恩 / 哈伊姆·杰拉菲 / 瑞克·阿维莱斯 / 杰克·科勒尔 / 更多...,动作 / 科幻 / 惊悚 / 冒险,美国,英语,1995-07-28(美国),135分钟 / 176分钟(美国电视版),水世界,tt0114898,7.6,94916,19.6%,44.9%
1294038,https://movie.douban.com/subject/1294038/,流星语 流星語 (1999),张之亮,邓汉强,张国荣 / 叶靖岚 / 狄龙 / 吴家丽 / 琦琦 / 更多...,剧情 / 喜剧,中国香港,粤语,1999-10-14(中国香港),110分钟,The Kid,tt0223603,8.5,18798,43.8%,39.8%
1294039,https://movie.douban.com/subject/1294039/,绿光 Le rayon vert (1986),埃里克·侯麦,玛丽·里维埃 / 埃里克·侯麦,玛丽·里维埃 / 阿米拉・舍玛赫 / 西尔维・里什 / María Luisa García / Basile Gervaise / 更多...,剧情 / 爱情,法国,法语,1986-08-29(美国) / 1986-09-03(法国),99分钟,众里寻他千百度 / 绿色光芒 / Summer / The Green Ray,tt0091830,8.1,49185,30.3%,48.5%
